"Date","OS","value"
2016-08-02,"Android",331
2016-08-03,"Android",297
2016-08-04,"Android",435
2016-08-05,"Android",545
2016-08-06,"Android",292
2016-08-07,"Android",337
2016-08-08,"Android",206
2016-08-09,"Android",220
2016-08-10,"Android",229
2016-08-11,"Android",262
2016-08-12,"Android",431
2016-08-13,"Android",284
2016-08-14,"Android",297
2016-08-15,"Android",247
2016-08-16,"Android",223
2016-08-17,"Android",215
2016-08-18,"Android",237
2016-08-19,"Android",409
2016-08-20,"Android",282
2016-08-21,"Android",324
2016-08-22,"Android",237
2016-08-23,"Android",210
2016-08-24,"Android",248
2016-08-25,"Android",211
2016-08-26,"Android",395
2016-08-27,"Android",240
2016-08-28,"Android",274
2016-08-29,"Android",226
2016-08-30,"Android",322
2016-08-31,"Android",454
2016-01-01,"iOS",85
2016-01-02,"iOS",59
2016-01-03,"iOS",71
2016-01-04,"iOS",72
2016-01-05,"iOS",59
2016-01-06,"iOS",31
2016-01-07,"iOS",29
2016-01-08,"iOS",49
2016-01-09,"iOS",54
2016-01-10,"iOS",71
2016-01-11,"iOS",35
2016-01-12,"iOS",32
2016-01-13,"iOS",40
2016-01-14,"iOS",42
2016-01-15,"iOS",68
2016-01-16,"iOS",79
2016-01-17,"iOS",67
2016-01-18,"iOS",41
2016-01-19,"iOS",38
2016-01-20,"iOS",65
2016-01-21,"iOS",54
2016-01-22,"iOS",72
2016-01-23,"iOS",81
2016-01-24,"iOS",79
2016-01-25,"iOS",67
2016-01-26,"iOS",24
2016-01-27,"iOS",51
2016-01-28,"iOS",51
2016-01-29,"iOS",88
2016-01-30,"iOS",65
2016-01-31,"iOS",99
2016-02-01,"iOS",85
2016-02-02,"iOS",68
2016-02-03,"iOS",101
2016-02-04,"iOS",114
2016-02-05,"iOS",107
2016-02-06,"iOS",139
2016-02-07,"iOS",68
2016-02-08,"iOS",57
2016-02-09,"iOS",116
2016-02-10,"iOS",89
2016-02-11,"iOS",102
2016-02-12,"iOS",91
2016-02-13,"iOS",86
2016-02-14,"iOS",79
2016-02-15,"iOS",96
2016-02-16,"iOS",135
2016-02-17,"iOS",128
2016-02-18,"iOS",178
2016-02-19,"iOS",181
2016-02-20,"iOS",208
2016-02-21,"iOS",195
2016-02-22,"iOS",128
2016-02-23,"iOS",112
2016-02-24,"iOS",93
2016-02-25,"iOS",113
2016-02-26,"iOS",241
2016-02-27,"iOS",206
2016-02-28,"iOS",163
2016-02-29,"iOS",186
2016-03-01,"iOS",110
2016-03-02,"iOS",108
2016-03-03,"iOS",85
2016-03-04,"iOS",165
2016-03-05,"iOS",127
2016-03-06,"iOS",163
2016-03-07,"iOS",92
2016-03-08,"iOS",85
2016-03-09,"iOS",84
2016-03-10,"iOS",90
2016-03-11,"iOS",168
